Rank,Title,Points,Comments,Timestamp,Filter
4,"Miscellanea: The War in Iran",21,5,20260325060721,filter two
16,"An Aural Companion for Decades",47,11,20260325060721,filter two
22,"A Compiler Writing Journey",58,4,20260325060721,filter two
17,"Algorithm Visualizer",59,3,20260325060721,filter two
24,"What happened to GEM?",62,29,20260325060721,filter two
2,"Flighty Airports",224,80,20260325060721,filter two
25,"Hypothesis",232,82,20260325060721,filter two
27,"Missile defense is NP-complete",297,305,20260325060721,filter two
11,"Arm AGI CPU",312,238,20260325060721,filter two
8,"Apple Business",573,340,20260325060721,filter two
3,"Goodbye to Sora",575,421,20260325060721,filter two
